Global_Step,Curriculum_Lvl,Dist_to_Target,Reward,Terminated,Table_Collision,J1_Pos,J2_Pos,J3_Pos,J4_Pos,J5_Pos,J6_Pos,J1_Vel,J2_Vel,J3_Vel,J4_Vel,J5_Vel,J6_Vel,Gripper_Pos,EE_X,EE_Y,EE_Z,Target_X,Target_Y,Target_Z,Act_J1,Act_J2,Act_J3,Act_J4,Act_J5,Act_J6,Act_Gripper,Spawn_Radius_M
4801,0.0,1.0097,0.0001,False,False,4.2256,0.2495,2.8454,-4.6623,-3.1261,3.0559,-0.0025,0.0003,0.0001,-0.0007,-0.0005,-0.0226,0.149,-0.1864,0.4951,0.8133,0.802,-0.26,0.01,0.017,0.0141,0.0168,-0.0561,0.0202,-0.0486,-2.5219,0.0
4901,0.0,0.9158,0.0,False,False,4.9376,0.2495,2.8454,-4.6624,-3.1264,3.063,-0.0099,-0.0,-0.0001,0.0003,0.0012,0.0123,0.1143,-0.1079,0.3908,0.8138,0.802,-0.26,0.01,0.0584,0.0747,0.067,-0.0151,0.0689,0.0687,-2.4533,0.0
5001,0.0,1.1815,-0.1231,False,False,2.0638,-1.5362,2.1235,-1.7733,-1.6338,-0.0177,0.2724,0.2365,0.7393,2.4572,-0.1114,-0.2572,0.0,-0.2639,0.7968,0.8435,0.802,-0.26,0.01,0.0585,-0.0049,-0.0069,0.0486,-0.0767,-0.0407,-1.9719,0.0
5101,0.0,0.9794,0.0,False,False,4.2191,0.25,3.0925,-3.5789,-3.0872,1.4301,0.0056,0.0007,0.0004,0.0017,-0.0179,-0.0306,0.3042,-0.1249,0.6055,0.8127,0.802,-0.26,0.01,-0.0391,-0.0443,-0.0332,-0.0726,-0.0628,0.0682,0.3659,0.0
5201,0.0,0.9795,0.0,False,False,4.2864,0.2499,3.0892,-3.63,-3.092,1.3543,-0.0055,0.0001,0.0008,0.005,0.0083,0.0276,0.3955,-0.1282,0.5959,0.8126,0.802,-0.26,0.01,0.0467,0.0148,-0.038,0.0166,-0.0482,0.0274,1.6793,0.0
5301,0.0,0.9832,0.0,False,False,4.3537,0.2497,3.0742,-3.7776,-3.1057,0.923,-0.0,0.0003,-0.0047,0.0074,-0.044,-0.1324,0.2765,-0.1419,0.5636,0.8194,0.802,-0.26,0.01,-0.0568,-0.0098,-0.0051,-0.0187,-0.032,0.0184,1.1074,0.0
5401,0.0,0.984,0.0,False,False,4.3615,0.2494,3.0571,-3.877,-3.1314,0.5286,0.001,0.0005,0.0193,0.0461,0.0569,0.1327,0.4152,-0.1453,0.553,0.8315,0.802,-0.26,0.01,-0.031,-0.0267,-0.0713,0.0457,-0.0317,-0.0609,1.9494,0.0
5501,0.0,1.1811,-0.1316,False,False,2.0659,-1.5767,2.1641,-1.8406,-1.6378,0.017,0.3782,-0.1517,1.0116,2.3971,-0.2218,0.0788,0.0,-0.2632,0.7972,0.8468,0.802,-0.26,0.01,0.071,-0.0729,0.0609,-0.0519,-0.0667,0.0146,-2.8181,0.0
5601,0.0,0.9958,0.0,False,False,3.7345,0.2493,3.0519,-3.9029,-3.1363,0.5058,-0.0015,0.0001,0.0004,0.0001,0.0021,-0.0015,0.353,-0.1309,0.6363,0.8267,0.802,-0.26,0.01,0.0153,-0.0428,-0.0782,-0.0446,0.0452,-0.0651,1.9792,0.0
5701,0.0,0.9996,0.0,False,False,3.7505,0.2493,3.0492,-3.9216,-3.1338,0.4886,-0.0057,0.0041,-0.0028,-0.0198,0.0016,-0.0368,0.3383,-0.1362,0.6332,0.825,0.802,-0.26,0.01,-0.0213,-0.0607,0.0441,-0.0464,-0.0644,-0.0367,-1.1351,0.0
5801,0.0,0.9905,-0.0022,False,False,3.756,0.2493,3.0484,-3.9266,-3.132,0.528,-0.0044,0.0001,0.0012,0.0167,-0.0095,0.0098,0.308,-0.1275,0.6301,0.8265,0.802,-0.26,0.01,0.0188,-0.064,0.0216,0.0691,0.0333,-0.0179,-2.6114,0.0
5901,0.0,0.9905,0.0,False,False,3.7752,0.2492,3.0472,-3.9344,-3.1306,0.5352,-0.0049,0.0001,-0.0048,-0.0276,0.0039,-0.1366,0.3426,-0.1282,0.6285,0.8266,0.802,-0.26,0.01,0.0597,0.0757,0.0476,-0.0065,-0.0114,-0.0396,1.9706,0.0
6001,0.0,1.1789,-0.1404,False,False,2.064,-1.5661,2.1626,-1.8148,-1.6381,-0.0097,0.3374,-0.0355,1.0665,2.66,-0.2422,-0.1531,-0.0,-0.2618,0.7956,0.8398,0.802,-0.26,0.01,0.0664,-0.053,0.0739,0.0465,-0.0753,-0.0297,-1.1339,0.0
6101,0.0,0.9795,0.0,False,False,4.4527,0.25,3.0933,-3.5665,-3.1023,1.62,-0.3783,0.0005,0.0227,0.4918,-0.075,0.7658,0.3275,-0.1354,0.5734,0.8088,0.802,-0.26,0.01,-0.0671,-0.0528,0.0535,0.0753,-0.0149,-0.072,-0.0971,0.0
6201,0.0,0.9772,0.0,False,False,4.5201,0.2499,3.0882,-3.6444,-3.0996,1.4066,-0.0042,-0.0005,0.0003,0.0057,0.0001,0.0014,0.3774,-0.1368,0.5605,0.8111,0.802,-0.26,0.01,0.0774,0.0728,0.0277,-0.0341,0.0046,0.07,1.3391,0.0
6301,0.0,0.9753,0.0,False,False,4.551,0.2495,3.0675,-3.817,-3.1215,0.7698,-0.0003,-0.0001,-0.0058,-0.041,-0.004,-0.1678,0.3831,-0.1417,0.5337,0.8252,0.802,-0.26,0.01,0.0607,-0.0149,-0.0621,0.0406,-0.066,0.0253,2.118,0.0
6401,0.0,0.9756,0.0,False,False,4.5553,0.2493,3.0542,-3.8919,-3.1341,0.5112,-0.0018,0.0011,0.0001,0.0001,-0.0003,0.0082,0.4048,-0.1446,0.5223,0.8313,0.802,-0.26,0.01,-0.0018,-0.066,-0.0261,-0.0636,0.0568,-0.0584,1.1275,0.0
6501,0.0,1.191,-0.1284,False,False,2.0671,-1.5729,2.1572,-1.8363,-1.6131,-0.0089,0.4023,-0.1196,0.9473,2.3078,0.066,-0.1594,0.0,-0.2732,0.7994,0.8443,0.802,-0.26,0.01,0.0746,-0.0676,0.0449,-0.0618,-0.0093,-0.0294,-2.4753,0.0
6601,0.0,1.0207,0.0,False,False,3.7917,0.249,3.0303,-4.0309,-3.1269,3.6718,-0.0039,0.0041,-0.033,-0.1145,-0.0236,-0.4396,0.2662,-0.1726,0.5925,0.8092,0.802,-0.26,0.01,0.0652,0.0641,0.0534,-0.0404,0.0395,-0.0211,-0.801,0.0
6701,0.0,1.0183,0.0,False,False,3.8077,0.2491,3.0389,-3.989,-3.1213,3.9239,-0.0001,0.0013,0.078,0.4982,0.0027,1.7735,0.2562,-0.17,0.5927,0.8132,0.802,-0.26,0.01,-0.057,-0.0324,0.0544,0.0229,0.0045,-0.0573,0.3676,0.0
6801,0.0,1.0248,0.0,False,False,3.842,0.2488,2.997,-4.174,-3.1268,3.4891,0.0018,0.0034,-0.0099,0.1493,-0.2223,0.4916,0.2465,-0.1809,0.5793,0.8095,0.802,-0.26,0.01,-0.0294,0.0676,0.0652,-0.0354,0.0438,0.0172,0.4855,0.0
6901,0.0,1.0214,0.0,False,False,4.1264,0.2493,2.8455,-4.6628,-3.1293,2.8971,0.2913,-0.0934,-0.0053,0.0983,-0.0006,-0.1043,0.3521,-0.1968,0.5028,0.8085,0.802,-0.26,0.01,0.0683,-0.0566,-0.0559,-0.0713,-0.0151,-0.0537,2.8709,0.0
7001,0.0,1.1819,-0.1362,False,False,2.0655,-1.5646,2.1599,-1.829,-1.6385,0.0371,0.3486,-0.0276,1.0206,2.4576,-0.204,0.258,0.0095,-0.2633,0.7993,0.8407,0.802,-0.26,0.01,0.0684,-0.0513,0.0624,-0.0046,-0.0732,0.0485,-0.6055,0.0
7101,0.0,1.0168,0.0,False,False,3.4387,0.2489,3.0146,-4.1037,-3.1252,3.5846,-0.0001,-0.0,-0.0026,-0.0092,0.0117,0.008,0.2047,-0.1491,0.649,0.8098,0.802,-0.26,0.01,0.0662,-0.0267,-0.0513,-0.0541,-0.0026,-0.0688,-1.6448,0.0
7201,0.0,1.0336,0.0,False,False,3.4494,0.2487,2.9696,-4.269,-3.1343,3.3641,-0.0,0.0012,-0.049,-0.1363,-0.0372,-0.2978,0.359,-0.1698,0.6414,0.8082,0.802,-0.26,0.01,-0.0559,-0.0773,0.0022,-0.0495,-0.0658,-0.0567,3.0341,0.0
7301,0.0,1.0432,0.0,False,False,3.6021,0.2495,2.8455,-4.6629,-3.1289,2.8559,-0.0024,0.0007,-0.0001,0.0002,-0.0012,0.0077,0.3021,-0.1909,0.6095,0.8082,0.802,-0.26,0.01,0.0232,-0.0031,0.0059,-0.0615,0.0427,-0.0296,1.1815,0.0
7401,0.0,0.9967,0.0,False,False,4.3562,0.2495,2.8455,-4.6628,-3.1281,3.0014,-0.0015,0.004,-0.0005,0.0065,0.003,0.031,0.1987,-0.1786,0.4668,0.8124,0.802,-0.26,0.01,0.0103,0.077,-0.0617,0.0377,0.0386,-0.0279,-1.2244,0.0
7501,0.0,1.1768,-0.1352,False,False,2.0624,-1.5717,2.1514,-1.7931,-1.6308,-0.0155,0.3355,-0.1022,0.9323,2.6537,-0.2204,-0.2055,-0.0,-0.2613,0.7911,0.8474,0.802,-0.26,0.01,0.0634,-0.065,0.0405,0.0346,-0.0616,-0.0385,-2.2802,0.0
7601,0.0,0.9682,0.0,False,False,4.6771,-0.8329,2.9308,-2.1566,-2.9714,4.9734,0.1593,0.1173,0.0305,0.074,-0.2964,0.2357,-0.0,-0.139,0.5165,0.8126,0.802,-0.26,0.01,0.071,0.0491,-0.0679,-0.0193,0.0286,0.0426,2.3228,0.0
7701,0.0,0.7278,0.0,False,False,5.9094,0.2495,2.8454,-4.6623,-3.1261,3.0562,-0.0011,0.0,-0.0,0.0051,-0.0055,0.0181,0.2019,0.079,0.3702,0.813,0.802,-0.26,0.01,-0.0238,0.0224,-0.0024,-0.0623,-0.0316,-0.0445,-2.1753,0.0
7801,0.0,0.6779,0.0,False,False,6.2124,0.2494,2.8454,-4.6622,-3.1262,3.0578,-0.0074,0.0155,0.0008,-0.0159,0.0009,0.0931,0.2836,0.1336,0.4008,0.8126,0.802,-0.26,0.01,0.0701,-0.0726,-0.0234,0.0763,0.0064,-0.0445,1.8238,0.0
7901,0.0,0.6732,0.0035,False,False,6.214,0.2495,2.8454,-4.6624,-3.1264,3.0636,-0.0167,0.0001,0.0,0.0013,-0.001,-0.0128,0.3509,0.1385,0.4015,0.8125,0.802,-0.26,0.01,0.0637,-0.0314,0.0191,-0.075,0.0745,0.0719,2.6763,0.0
